funkcja straty to było MAE, a nie MSE

MSO 10

Rozpoczynam trening (Maksymalnie 2000 epok, Cierpliwość: 80)...
Epoka 1300/2000 | Strata MSE: 0.007270
Epoka 1310/2000 | Strata MSE: 0.007195
Epoka 1320/2000 | Strata MSE: 0.007171
Epoka 1330/2000 | Strata MSE: 0.007166

[!] EARLY STOPPING: Przerwano trening w epoce 1332!
Brak poprawy o minimum 1e-06 od 80 epok.
Trening zakończony. Załadowano najlepsze wagi ze stratą MSE: 0.007165

Komórka MSO 10 gotowa!


MSO 0

Rozpoczynam trening (Maksymalnie 2000 epok, Cierpliwość: 80)...
Epoka 10/2000 | Strata MSE: 0.021089
Epoka 20/2000 | Strata MSE: 0.015402
Epoka 30/2000 | Strata MSE: 0.015361
Epoka 40/2000 | Strata MSE: 0.014298
Epoka 50/2000 | Strata MSE: 0.012521
Epoka 60/2000 | Strata MSE: 0.011668
Epoka 70/2000 | Strata MSE: 0.010726
Epoka 80/2000 | Strata MSE: 0.009751
Epoka 90/2000 | Strata MSE: 0.010004
Epoka 100/2000 | Strata MSE: 0.009044
Epoka 110/2000 | Strata MSE: 0.008976
Epoka 120/2000 | Strata MSE: 0.008668
Epoka 130/2000 | Strata MSE: 0.008418
Epoka 140/2000 | Strata MSE: 0.008404
Epoka 150/2000 | Strata MSE: 0.008197
Epoka 160/2000 | Strata MSE: 0.008105
Epoka 170/2000 | Strata MSE: 0.008126
Epoka 180/2000 | Strata MSE: 0.008504
Epoka 190/2000 | Strata MSE: 0.007939
Epoka 200/2000 | Strata MSE: 0.007849
Epoka 210/2000 | Strata MSE: 0.008314
Epoka 220/2000 | Strata MSE: 0.008174
Epoka 230/2000 | Strata MSE: 0.007940
Epoka 240/2000 | Strata MSE: 0.007756
Epoka 250/2000 | Strata MSE: 0.007638
Epoka 260/2000 | Strata MSE: 0.007679
Epoka 270/2000 | Strata MSE: 0.007523
Epoka 280/2000 | Strata MSE: 0.007619
Epoka 290/2000 | Strata MSE: 0.007739
Epoka 300/2000 | Strata MSE: 0.007637
Epoka 310/2000 | Strata MSE: 0.007422
Epoka 320/2000 | Strata MSE: 0.007497
Epoka 330/2000 | Strata MSE: 0.007507
Epoka 340/2000 | Strata MSE: 0.007435
Epoka 350/2000 | Strata MSE: 0.007363
Epoka 360/2000 | Strata MSE: 0.007304
Epoka 370/2000 | Strata MSE: 0.007452
Epoka 380/2000 | Strata MSE: 0.007343
Epoka 390/2000 | Strata MSE: 0.007348
Epoka 400/2000 | Strata MSE: 0.007332
Epoka 410/2000 | Strata MSE: 0.007238
Epoka 420/2000 | Strata MSE: 0.007349
Epoka 430/2000 | Strata MSE: 0.007351
Epoka 440/2000 | Strata MSE: 0.007295
Epoka 450/2000 | Strata MSE: 0.007361
Epoka 460/2000 | Strata MSE: 0.007183
Epoka 470/2000 | Strata MSE: 0.007201
Epoka 480/2000 | Strata MSE: 0.007215
Epoka 490/2000 | Strata MSE: 0.007179
Epoka 500/2000 | Strata MSE: 0.007198
Epoka 510/2000 | Strata MSE: 0.007174
Epoka 520/2000 | Strata MSE: 0.007189
Epoka 530/2000 | Strata MSE: 0.007216
Epoka 540/2000 | Strata MSE: 0.007142
Epoka 550/2000 | Strata MSE: 0.007207
Epoka 560/2000 | Strata MSE: 0.007140
Epoka 570/2000 | Strata MSE: 0.007160
